no,단어,뜻,등급,변형1,변형2
2790,tribe,종족,중고,,
2791,trick,책략,중고,,
2795,triumph,승리,중고,,
2796,troop,대,중고,,
2797,trophy,전리품,중고,,
2798,trouble,고생,중고,,
2799,trouser,즈봉,중고,,
2801,trunk,줄기,중고,,
2802,trust,신용,중고,,
2803,truth,진리,중고,,
2805,tube,관,중고,,
2806,tune,곡,중고,,
2807,tunnel,터널,중고,,
2810,tutor,가정교사,중고,,
2812,twin,쌍동이,중고,,
2813,twist,꼬이다,중고,,
2815,typical,전형적인,중고,,
2817,ultimate,최후의,중고,,
2826,uniform,한결같은,중고,,
2827,unify,하나로 하다,중고,,
2828,union,결합,중고,,
2829,unique,유일무이한,중고,,
2830,unit,단위,중고,,
2831,unite,결합하다,중고,,
2832,universe,우주,중고,,
2833,university,종합대학(교) 대학의(에 관계 있는),중고,,
2834,unless,-하지 않으면,중고,,
2835,until,-까지,중고,,
2837,update,새롭게 하다 최신정보,중고,,
2838,upon,-의 위에,중고,,
2839,upper,위쪽의,중고,,
2840,upset,뒤집어 엎다,중고,,
2841,upward,위로 향한,중고,upwards,
2842,urban,도시의,중고,,
2843,urge,몰아대다,중고,,
2844,urgent,긴급한,중고,,
2846,usual,평소의,중고,,
2849,vacation,휴가,중고,,
2850,vacuum,진공,중고,,
2853,valley,골짜기,중고,,
2854,value,가치,중고,,
2855,van,유개트럭,중고,,
2857,various,가지가지의,중고,,
2858,vary,바꾸다,중고,,
2859,vast,"광대한, 광막한 막대한",중고,,
2861,vehicle,"운반 기구, 운송 수단,  수레, 차량, 탈것",중고,,
2862,venture,모험,중고,,
2865,version,"번역, 번역문 개작, 각색, 번안",중고,,
2866,versus,"…대, …에 대한",중고,,
2872,via,"…을 거쳐, …을 경유하여",중고,,
2874,victim,"희생, 산 제물, 인신 제물",중고,,
2875,victory,"승리, 전승",중고,,
2876,view,"봄, 관찰, 개관, 실지 검증  보는 힘, 시계, 시야",중고,,
2878,village,"마을, 촌락",중고,,
2879,violent,"격렬한, 맹렬한",중고,,
2883,visible,"눈에 보이는,  볼 수 있는",중고,,
2885,visual,"시각의, 물건을 보기 위한",중고,,
2888,vocabulary,"어휘, 용어수, 용어 범위",중고,,
2891,volume,책  권,중고,,
2892,voluntary,"자발적인, 수의의",중고,,
2893,vote,"찬부 표시, 투표, 표결",중고,,
2894,voyage,여행,중고,,
2895,wage,임금,중고,,
2906,warn,경고하다,중고,,
2910,waste,낭비하다,중고,,
2914,wave,물결,중고,,
2917,weak,약한,중고,,
2918,wealth,재산,중고,,
2919,weapon,무기,중고,,
2927,weigh,무게를 달다,중고,,
2929,weird,불가사의한,중고,,
2931,welfare,행복,중고,,
2935,whale,고래,중고,,
2937,wheat,밀,중고,,
2938,wheel,바퀴,중고,,
2942,whether,-인지 어떤지,중고,,
2943,which,어느 쪽,중고,,
2944,while,동안 -하는 동안,중고,,
2946,whisper,속삭이다,중고,,
2947,whistle,휘파람,중고,,
2950,whole,전체의,중고,,
2953,wide,폭넓은,중고,,
2954,widespread,널리 보급되어 있는,중고,,
2957,wild,야생의,중고,,
2962,wing,날개,중고,,
2963,wipe,닦다,중고,,
2964,wire,철사,중고,,
2965,wise,슬기로운,중고,,
2967,wit,기지,중고,,
2970,within,prop.-의 안쪽에 안으로 내부,중고,,
2971,without,prop.-없이 밖은,중고,,
2972,witness,증언,중고,,
2974,wonder,경이,중고,,
2976,wool,양모,중고,,
2981,worship,숭배,중고,,
2982,worth,가치가 있는 가치,중고,,
2983,would,auwill의 과거,중고,,
2984,wound,부상,중고,,
2985,wrap,싸다,중고,,
2990,yell,고함치다,중고,,
2994,yet,아직,중고,,
2999,zone,대,중고,,
